=== 算法运行日志 ===
时间戳: 20250516_114948

== 参数配置 ==
ants: 10
iterations: 100
evaporation_rate: 0.5
alpha: 1
beta: 2

== 迭代记录 ==
Iteration 1: 764.070618
Iteration 2: 764.070618
Iteration 3: 1128.650513
Iteration 4: 1201.018677
Iteration 5: 1436.489014
Iteration 6: 1436.489014
Iteration 7: 1436.489014
Iteration 8: 1473.040527
Iteration 9: 1491.663208
Iteration 10: 1491.663208
Iteration 11: 1491.663208
Iteration 12: 1491.663208
Iteration 13: 1491.663208
Iteration 14: 1491.663208
Iteration 15: 1491.663208
Iteration 16: 1491.663208
Iteration 17: 1491.663208
Iteration 18: 1491.663208
Iteration 19: 1491.663208
Iteration 20: 1491.663208
Iteration 21: 1491.663208
Iteration 22: 1491.663208
Iteration 23: 1491.663208
Iteration 24: 1491.663208
Iteration 25: 1491.663208
Iteration 26: 1491.663208
Iteration 27: 1491.663208
Iteration 28: 1491.663208
Iteration 29: 1491.663208
Iteration 30: 1491.663208
Iteration 31: 1535.513916
Iteration 32: 1535.513916
Iteration 33: 1535.513916
Iteration 34: 1535.513916
Iteration 35: 1535.513916
Iteration 36: 1535.513916
Iteration 37: 1535.513916
Iteration 38: 1535.513916
Iteration 39: 1535.513916
Iteration 40: 1535.513916
Iteration 41: 1535.513916
Iteration 42: 1535.513916
Iteration 43: 1535.513916
Iteration 44: 1535.513916
Iteration 45: 1535.513916
Iteration 46: 1535.513916
Iteration 47: 1535.513916
Iteration 48: 1535.513916
Iteration 49: 1535.513916
Iteration 50: 1535.513916
Iteration 51: 1535.513916
Iteration 52: 1535.513916
Iteration 53: 1535.513916
Iteration 54: 1535.513916
Iteration 55: 1535.513916
Iteration 56: 1535.513916
Iteration 57: 1535.513916
Iteration 58: 1535.513916
Iteration 59: 1535.513916
Iteration 60: 1535.513916
Iteration 61: 1535.513916
Iteration 62: 1535.513916
Iteration 63: 1535.513916
Iteration 64: 1535.513916
Iteration 65: 1535.513916
Iteration 66: 1535.513916
Iteration 67: 1535.513916
Iteration 68: 1535.513916
Iteration 69: 1535.513916
Iteration 70: 1535.513916
Iteration 71: 1535.513916
Iteration 72: 1535.513916
Iteration 73: 1535.513916
Iteration 74: 1535.513916
Iteration 75: 1535.513916
Iteration 76: 1535.513916
Iteration 77: 1535.513916
Iteration 78: 1535.513916
Iteration 79: 1535.513916
Iteration 80: 1535.513916
Iteration 81: 1535.513916
Iteration 82: 1535.513916
Iteration 83: 1535.513916
Iteration 84: 1535.513916
Iteration 85: 1535.513916
Iteration 86: 1535.513916
Iteration 87: 1535.513916
Iteration 88: 1535.513916
Iteration 89: 1535.513916
Iteration 90: 1535.513916
Iteration 91: 1535.513916
Iteration 92: 1535.513916
Iteration 93: 1535.513916
Iteration 94: 1535.513916
Iteration 95: 1535.513916
Iteration 96: 1535.513916
Iteration 97: 1535.513916
Iteration 98: 1535.513916
Iteration 99: 1535.513916
Iteration 100: 1535.513916

== 最优解地理坐标 ==
(35.48, 112.78)
(35.57, 112.60)
(35.55, 112.57)
(35.42, 112.91)
(35.45, 112.88)
最终适应度 y*: 1535.513916
