=== 算法运行日志 ===
时间戳: 20250516_214412

== 参数配置 ==
pop_size: 20
generations: 300
mutation_rate: 0.05

== 迭代记录 ==
Iteration 224: 2016.802979
Iteration 225: 2016.802979
Iteration 226: 2016.802979
Iteration 227: 2016.802979
Iteration 228: 2016.802979
Iteration 229: 2016.802979
Iteration 230: 2016.802979
Iteration 231: 2016.802979
Iteration 232: 2016.802979
Iteration 233: 2016.802979
Iteration 234: 2016.802979
Iteration 235: 2016.802979
Iteration 236: 2016.802979
Iteration 237: 2016.802979
Iteration 238: 2016.802979
Iteration 239: 2016.802979
Iteration 240: 2016.802979
Iteration 241: 2016.802979
Iteration 242: 2016.802979
Iteration 243: 2016.802979
Iteration 244: 2016.802979
Iteration 245: 2016.802979
Iteration 246: 2016.802979
Iteration 247: 2016.802979
Iteration 248: 2016.802979
Iteration 249: 2016.802979
Iteration 250: 2016.802979
Iteration 251: 2016.802979
Iteration 252: 2016.802979
Iteration 253: 2016.802979
Iteration 254: 2016.802979
Iteration 255: 2016.802979
Iteration 256: 2016.802979
Iteration 257: 2016.802979
Iteration 258: 2016.802979
Iteration 259: 2016.802979
Iteration 260: 2016.802979
Iteration 261: 2016.802979
Iteration 262: 2016.802979
Iteration 263: 2016.802979
Iteration 264: 2016.802979
Iteration 265: 2016.802979
Iteration 266: 2016.802979
Iteration 267: 2016.802979
Iteration 268: 2016.802979
Iteration 269: 2016.802979
Iteration 270: 2016.802979
Iteration 271: 2016.802979
Iteration 272: 2016.802979
Iteration 273: 2016.802979
Iteration 274: 2016.802979
Iteration 275: 2016.802979
Iteration 276: 2016.802979
Iteration 277: 2016.802979
Iteration 278: 2016.802979
Iteration 279: 2016.802979
Iteration 280: 2016.802979
Iteration 281: 2016.802979
Iteration 282: 2016.802979
Iteration 283: 2016.802979
Iteration 284: 2016.802979
Iteration 285: 2016.802979
Iteration 286: 2016.802979
Iteration 287: 2016.802979
Iteration 288: 2016.802979
Iteration 289: 2016.802979
Iteration 290: 2016.802979
Iteration 291: 2016.802979
Iteration 292: 2016.802979
Iteration 293: 2016.802979
Iteration 294: 2016.802979
Iteration 295: 2016.802979
Iteration 296: 2016.802979
Iteration 297: 2016.802979
Iteration 298: 2016.802979
Iteration 299: 2016.802979
Iteration 300: 2016.802979

== 最优解地理坐标 ==
(35.35, 112.72)
(35.59, 112.55)
(35.52, 112.78)
(35.47, 112.77)
(35.55, 112.83)
最终适应度 y*: 2016.802979
